Epoch 1 | Train -> Loss: 0.5857, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 1 | Validation -> Loss: 0.5399, Acc: 72.52%, Precision: 0.7402, Recall: 0.9361, Dice: 0.8267, IoU: 0.7046
Epoch 2 | Train -> Loss: 0.5377, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 2 | Validation -> Loss: 0.5165, Acc: 72.94%, Precision: 0.7436, Recall: 0.9361, Dice: 0.8288, IoU: 0.7077
Epoch 3 | Train -> Loss: 0.5264, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 3 | Validation -> Loss: 0.5277, Acc: 72.67%, Precision: 0.7692, Recall: 0.8709, Dice: 0.8169, IoU: 0.6905
Epoch 4 | Train -> Loss: 0.5182, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 4 | Validation -> Loss: 0.5120, Acc: 73.46%, Precision: 0.7757, Recall: 0.8734, Dice: 0.8217, IoU: 0.6973
Epoch 5 | Train -> Loss: 0.5083, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 5 | Validation -> Loss: 0.4878, Acc: 75.01%, Precision: 0.7911, Recall: 0.8736, Dice: 0.8303, IoU: 0.7099
Epoch 6 | Train -> Loss: 0.5035, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 6 | Validation -> Loss: 0.4890, Acc: 74.84%, Precision: 0.7822, Recall: 0.8877, Dice: 0.8316, IoU: 0.7118
Epoch 7 | Train -> Loss: 0.4984, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 7 | Validation -> Loss: 0.4844, Acc: 75.38%, Precision: 0.7971, Recall: 0.8697, Dice: 0.8318, IoU: 0.7121
Epoch 8 | Train -> Loss: 0.4950, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 8 | Validation -> Loss: 0.4844, Acc: 75.25%, Precision: 0.8027, Recall: 0.8572, Dice: 0.8290, IoU: 0.7080
Epoch 9 | Train -> Loss: 0.4906, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 9 | Validation -> Loss: 0.4734, Acc: 76.20%, Precision: 0.8166, Recall: 0.8511, Dice: 0.8335, IoU: 0.7145
Epoch 10 | Train -> Loss: 0.4861, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 10 | Validation -> Loss: 0.4692, Acc: 76.51%, Precision: 0.8002, Recall: 0.8854, Dice: 0.8407, IoU: 0.7251
Epoch 11 | Train -> Loss: 0.4864, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 11 | Validation -> Loss: 0.4664, Acc: 76.86%, Precision: 0.8110, Recall: 0.8729, Dice: 0.8408, IoU: 0.7253
Epoch 12 | Train -> Loss: 0.4792, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 12 | Validation -> Loss: 0.4671, Acc: 77.14%, Precision: 0.8133, Recall: 0.8740, Dice: 0.8426, IoU: 0.7280
Epoch 13 | Train -> Loss: 0.4784, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 13 | Validation -> Loss: 0.4602, Acc: 77.19%, Precision: 0.8284, Recall: 0.8504, Dice: 0.8392, IoU: 0.7230
Epoch 14 | Train -> Loss: 0.4760, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 14 | Validation -> Loss: 0.4570, Acc: 77.24%, Precision: 0.8120, Recall: 0.8783, Dice: 0.8438, IoU: 0.7299
Epoch 15 | Train -> Loss: 0.4756, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 15 | Validation -> Loss: 0.4535, Acc: 77.82%, Precision: 0.8214, Recall: 0.8730, Dice: 0.8464, IoU: 0.7337
Epoch 15 | Test -> Loss: 0.4506, Acc: 77.88%, Precision: 0.8215, Recall: 0.8749, Dice: 0.8474, IoU: 0.7351
Epoch 1 | Train -> Loss: 0.5915, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 1 | Validation -> Loss: 0.5480, Acc: 71.14%, Precision: 0.7285, Recall: 0.9332, Dice: 0.8183, IoU: 0.6924
Epoch 2 | Train -> Loss: 0.5324, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 2 | Validation -> Loss: 0.5177, Acc: 73.50%, Precision: 0.7786, Recall: 0.8656, Dice: 0.8198, IoU: 0.6946
Epoch 3 | Train -> Loss: 0.5196, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 3 | Validation -> Loss: 0.5068, Acc: 74.48%, Precision: 0.7785, Recall: 0.8854, Dice: 0.8285, IoU: 0.7072
Epoch 4 | Train -> Loss: 0.5079, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 4 | Validation -> Loss: 0.5160, Acc: 71.37%, Precision: 0.7919, Recall: 0.7987, Dice: 0.7953, IoU: 0.6601
Epoch 5 | Train -> Loss: 0.5060, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 5 | Validation -> Loss: 0.5037, Acc: 73.34%, Precision: 0.8149, Recall: 0.7985, Dice: 0.8066, IoU: 0.6759
Epoch 6 | Train -> Loss: 0.4990, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 6 | Validation -> Loss: 0.4916, Acc: 74.99%, Precision: 0.7958, Recall: 0.8620, Dice: 0.8276, IoU: 0.7058
Epoch 7 | Train -> Loss: 0.4917, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 7 | Validation -> Loss: 0.4925, Acc: 74.40%, Precision: 0.8179, Recall: 0.8134, Dice: 0.8156, IoU: 0.6887
Epoch 8 | Train -> Loss: 0.4897, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 8 | Validation -> Loss: 0.4808, Acc: 75.47%, Precision: 0.8100, Recall: 0.8460, Dice: 0.8276, IoU: 0.7059
Epoch 9 | Train -> Loss: 0.4892, Acc: 0.00%, Precision: 0.0000, Recall: 0.0000, Dice: 0.0000, IoU: 0.0000
Epoch 9 | Validation -> Loss: 0.4902, Acc: 74.96%, Precision: 0.8150, Recall: 0.8284, Dice: 0.8217, IoU: 0.6973
